event_id,date,region,rainfall_mm,affected_population,damage_usd,data_source
EVT_0034,2020-09-21,East,86.5,564,615698.23,local_survey
EVT_0035,2018-03-24,North,64.4,961,824672.8,satellite
EVT_0036,2014-06-26,North,161.3,708,2207310.94,satellite
EVT_0037,2022-04-03,West,85.5,679,307443.19,gov
EVT_0038,2016-05-29,South,35.4,5,,local_survey
EVT_0039,2012-09-11,North,70.4,594,318584.88,satellite
EVT_0040,2023-05-25,East,105.5,377,762175.57,satellite
EVT_0041,2024-04-30,West,55.0,373,147423.29,gov
EVT_0042,2019-12-15,East,,501,58178.41,gov
EVT_0043,2016-12-25,South,52.7,762,206659.92,satellite
EVT_0044,2023-11-20,Central,98.9,217,200226.88,local_survey
EVT_0045,2019-03-05,East,54.7,358,163660.43,local_survey
EVT_0046,2014-08-13,East,16.7,875,106221.25,gov
EVT_0047,2018-02-03,North,,121,156819.06,local_survey
EVT_0048,2012-05-02,East,103.2,595,436308.99,local_survey
EVT_0049,2017-10-23,East,84.0,944,1059425.6,satellite
EVT_0050,2015-11-09,North,68.9,320,373997.79,gov
EVT_0051,2024-08-21,West,78.1,375,272318.79,local_survey
EVT_0052,2017-01-08,North,97.3,638,911221.75,gov
EVT_0053,2024-10-03,West,194.0,432,547163.55,gov
EVT_0054,2013-02-12,North,97.4,803,400787.94,local_survey
EVT_0055,invalid_date,South,8.8,319,48211.88,gov
EVT_0056,2019-02-06,South,65.0,130,89408.93,local_survey
EVT_0057,2024-08-27,North,167.4,442,985883.68,satellite
EVT_0058,2016-01-14,West,98.6,280,466119.88,satellite
EVT_0059,2011-08-24,North,73.3,254,313541.9,satellite
EVT_0060,2021-10-06,North,24.8,122,52936.53,local_survey
EVT_0061,2015-11-15,East,,955,2369649.46,local_survey
EVT_0062,2011-06-20,North,44.2,378,313117.46,local_survey
EVT_0063,2016-06-21,East,128.6,250,532682.08,local_survey
EVT_0064,2022-06-17,South,44.9,484,343818.63,local_survey
EVT_0065,2010-12-17,East,124.3,1131,1734053.72,gov
EVT_0066,2017-06-04,South,78.9,600,593088.68,satellite
EVT_0067,2013-10-15,North,33.3,1,511.61,satellite
EVT_0068,2022-05-05,Central,122.2,352,301087.16,satellite
EVT_0069,2015-11-13,East,63.4,1120,355689.12,gov
EVT_0070,2018-07-26,North,82.7,299,208864.59,gov
EVT_0071,2023-05-10,South,55.7,1196,508191.15,local_survey
EVT_0072,2018-02-18,West,14.9,548,65921.38,satellite
EVT_0073,2020-03-02,East,84.0,308,380687.22,local_survey
EVT_0074,2016-02-12,South,,879,850298.82,gov
EVT_0075,2023-10-10,North,103.9,527,585439.61,satellite
EVT_0076,2024-12-06,East,72.4,700,,gov
EVT_0077,2024-12-28,Central,112.3,1,2106.14,local_survey
EVT_0078,2023-04-21,South,105.1,287,318254.18,gov
EVT_0079,2010-12-09,West,104.2,581,528229.82,local_survey
EVT_0080,2023-09-09,East,102.7,396,423916.56,local_survey
EVT_0081,2021-11-19,South,107.0,53,107725.05,satellite
EVT_0082,2013-03-25,North,37.3,1036,739625.73,gov
EVT_0083,2019-12-23,North,71.2,493,431040.46,gov
EVT_0084,2011-11-02,North,1.4,1096,25151.48,gov
EVT_0085,2015-07-01,West,78.5,610,766828.53,satellite
EVT_0086,2014-06-15,East,10.6,884,,gov
EVT_0087,2022-09-16,Central,9.2,71,10945.16,satellite
EVT_0088,2018-10-04,Central,113.1,868,1127188.11,satellite
EVT_0089,2020-12-28,South,89.5,168,201379.34,satellite
EVT_0090,2021-02-26,Central,130.1,568,854353.77,gov
EVT_0091,2015-02-16,Central,89.3,716,,satellite
EVT_0092,2022-01-13,South,36.7,379,256803.33,gov
EVT_0093,2023-08-13,South,59.1,797,298181.26,gov
EVT_0094,2023-08-09,East,108.3,414,506587.03,satellite
EVT_0095,2022-08-22,Central,28.0,972,208209.04,local_survey
EVT_0096,2015-12-10,South,162.0,611,1838200.59,gov
EVT_0097,2012-01-06,North,117.4,175,174647.52,satellite
EVT_0098,2013-11-15,South,137.3,998,1965117.89,local_survey
EVT_0099,invalid_date,South,110.6,643,1027981.72,local_survey
EVT_0100,2017-12-23,Central,58.0,810,296727.53,satellite
EVT_0101,2019-03-29,South,,323,317877.05,gov
EVT_0102,2021-11-30,South,45.3,251,70048.61,satellite
EVT_0103,2014-12-14,North,92.6,411,580813.74,local_survey
EVT_0104,2019-02-27,West,96.4,160,118525.61,gov
EVT_0105,2017-10-02,South,90.9,435,688889.51,local_survey
EVT_0106,2021-03-18,South,103.4,806,561937.61,local_survey
EVT_0107,2021-12-29,East,68.5,589,383846.73,satellite
EVT_0108,2014-11-17,South,48.4,631,361874.96,gov
EVT_0109,2015-11-23,Central,34.6,604,331264.26,local_survey
EVT_0110,2024-10-07,West,90.4,697,745995.95,gov
EVT_0111,2019-07-10,West,89.0,524,387826.14,local_survey
EVT_0112,2020-11-02,Central,95.7,977,642890.57,gov
EVT_0113,2019-12-03,Central,116.9,763,,gov
EVT_0114,2022-09-18,Central,135.2,118,293485.75,local_survey
EVT_0115,2015-02-05,South,167.2,581,1172078.2,local_survey
EVT_0116,2018-11-29,South,140.1,520,1383856.45,local_survey
EVT_0117,2022-02-12,West,91.8,747,1218415.37,gov
EVT_0118,2010-10-18,South,25.9,190,25245.13,gov
EVT_0119,2012-05-01,South,122.8,1,1393.0,gov
EVT_0120,2017-07-22,West,102.9,537,543967.63,local_survey
